Order ID,Product,Quantity Ordered,Order_Date,Purchase Address,Price,hour,Month,Year,Day,Month_name,City,TimeOfDay,Season,TotalPrice,profit
295665.0,Macbook Pro Laptop,1,2019-12-30 00:01:00,"136 Church St, New York City, NY 10001",1700.0,0,12,2019,Monday,December,New York City,Night,Fall,1700.0,1462.0
295666.0,LG Washing Machine,1,2019-12-29 07:03:00,"562 2nd St, New York City, NY 10001",600.0,7,12,2019,Sunday,December,New York City,Morning,Fall,600.0,516.0
295667.0,USB-C Charging Cable,1,2019-12-12 18:21:00,"277 Main St, New York City, NY 10001",11.95,18,12,2019,Thursday,December,New York City,Afternoon,Fall,11.95,10.277
295668.0,27in FHD Monitor,1,2019-12-22 15:13:00,"410 6th St, San Francisco, CA 94016",149.99,15,12,2019,Sunday,December,San Francisco,Afternoon,Fall,149.99,128.9914
295669.0,USB-C Charging Cable,1,2019-12-18 12:38:00,"43 Hill St, Atlanta, GA 30301",11.95,12,12,2019,Wednesday,December,Atlanta,Morning,Fall,11.95,10.277
295670.0,AA Batteries (4-pack),1,2019-12-31 22:58:00,"200 Jefferson St, New York City, NY 10001",3.84,22,12,2019,Tuesday,December,New York City,Evening,Fall,3.84,3.3023999999999996
295671.0,USB-C Charging Cable,1,2019-12-16 15:10:00,"928 12th St, Portland, OR 97035",11.95,15,12,2019,Monday,December,Portland,Afternoon,Fall,11.95,10.277
295672.0,USB-C Charging Cable,2,2019-12-13 09:29:00,"813 Hickory St, Dallas, TX 75001",11.95,9,12,2019,Friday,December,Dallas,Morning,Fall,23.9,10.277
295673.0,Bose SoundSport Headphones,1,2019-12-15 23:26:00,"718 Wilson St, Dallas, TX 75001",99.99,23,12,2019,Sunday,December,Dallas,Evening,Fall,99.99,85.9914
295674.0,AAA Batteries (4-pack),4,2019-12-28 11:51:00,"77 7th St, Dallas, TX 75001",2.99,11,12,2019,Saturday,December,Dallas,Morning,Fall,11.96,2.5714
295675.0,USB-C Charging Cable,2,2019-12-13 13:52:00,"594 1st St, San Francisco, CA 94016",11.95,13,12,2019,Friday,December,San Francisco,Afternoon,Fall,23.9,10.277
295676.0,ThinkPad Laptop,1,2019-12-28 17:19:00,"410 Lincoln St, Los Angeles, CA 90001",999.99,17,12,2019,Saturday,December,Los Angeles,Afternoon,Fall,999.99,859.9914
295677.0,AA Batteries (4-pack),2,2019-12-20 19:19:00,"866 Pine St, Boston, MA 02215",3.84,19,12,2019,Friday,December,Boston,Evening,Fall,7.68,3.3023999999999996
295678.0,AAA Batteries (4-pack),2,2019-12-06 09:38:00,"187 Lincoln St, Dallas, TX 75001",2.99,9,12,2019,Friday,December,Dallas,Morning,Fall,5.98,2.5714
295679.0,USB-C Charging Cable,1,2019-12-25 09:39:00,"902 2nd St, Dallas, TX 75001",11.95,9,12,2019,Wednesday,December,Dallas,Morning,Fall,11.95,10.277
295680.0,Lightning Charging Cable,1,2019-12-01 14:30:00,"338 Main St, Austin, TX 73301",14.95,14,12,2019,Sunday,December,Austin,Afternoon,Fall,14.95,12.857
295681.0,Google Phone,1,2019-12-25 12:37:00,"79 Elm St, Boston, MA 02215",600.0,12,12,2019,Wednesday,December,Boston,Morning,Fall,600.0,516.0
295681.0,USB-C Charging Cable,1,2019-12-25 12:37:00,"79 Elm St, Boston, MA 02215",11.95,12,12,2019,Wednesday,December,Boston,Morning,Fall,11.95,10.277
295681.0,Bose SoundSport Headphones,1,2019-12-25 12:37:00,"79 Elm St, Boston, MA 02215",99.99,12,12,2019,Wednesday,December,Boston,Morning,Fall,99.99,85.9914
295681.0,Wired Headphones,1,2019-12-25 12:37:00,"79 Elm St, Boston, MA 02215",11.99,12,12,2019,Wednesday,December,Boston,Morning,Fall,11.99,10.3114
295682.0,USB-C Charging Cable,1,2019-12-23 19:25:00,"780 Elm St, Portland, OR 97035",11.95,19,12,2019,Monday,December,Portland,Evening,Fall,11.95,10.277
295683.0,Wired Headphones,1,2019-12-23 22:46:00,"341 Lake St, San Francisco, CA 94016",11.99,22,12,2019,Monday,December,San Francisco,Evening,Fall,11.99,10.3114
295684.0,AAA Batteries (4-pack),4,2019-12-04 12:29:00,"936 Church St, San Francisco, CA 94016",2.99,12,12,2019,Wednesday,December,San Francisco,Morning,Fall,11.96,2.5714
295685.0,Wired Headphones,1,2019-12-11 22:54:00,"662 Ridge St, San Francisco, CA 94016",11.99,22,12,2019,Wednesday,December,San Francisco,Evening,Fall,11.99,10.3114
295686.0,USB-C Charging Cable,1,2019-12-17 16:10:00,"573 Maple St, Portland, ME 04101",11.95,16,12,2019,Tuesday,December,Portland,Afternoon,Fall,11.95,10.277
295687.0,Apple Airpods Headphones,1,2019-12-10 00:38:00,"531 Ridge St, Boston, MA 02215",150.0,0,12,2019,Tuesday,December,Boston,Night,Fall,150.0,129.0
295688.0,Apple Airpods Headphones,1,2019-12-08 11:21:00,"546 Park St, Los Angeles, CA 90001",150.0,11,12,2019,Sunday,December,Los Angeles,Morning,Fall,150.0,129.0
295689.0,LG Washing Machine,1,2019-12-24 11:21:00,"173 Lake St, San Francisco, CA 94016",600.0,11,12,2019,Tuesday,December,San Francisco,Morning,Fall,600.0,516.0
295690.0,Apple Airpods Headphones,1,2019-12-04 00:44:00,"174 Cedar St, Seattle, WA 98101",150.0,0,12,2019,Wednesday,December,Seattle,Night,Fall,150.0,129.0
295691.0,Bose SoundSport Headphones,1,2019-12-22 18:34:00,"102 Johnson St, Los Angeles, CA 90001",99.99,18,12,2019,Sunday,December,Los Angeles,Afternoon,Fall,99.99,85.9914
295692.0,AA Batteries (4-pack),2,2019-12-14 01:21:00,"640 Cherry St, Los Angeles, CA 90001",3.84,1,12,2019,Saturday,December,Los Angeles,Night,Fall,7.68,3.3023999999999996
295693.0,Wired Headphones,1,2019-12-16 16:40:00,"856 12th St, Atlanta, GA 30301",11.99,16,12,2019,Monday,December,Atlanta,Afternoon,Fall,11.99,10.3114
295694.0,Lightning Charging Cable,1,2019-12-26 18:18:00,"310 Pine St, Dallas, TX 75001",14.95,18,12,2019,Thursday,December,Dallas,Afternoon,Fall,14.95,12.857
295695.0,Lightning Charging Cable,1,2019-12-14 06:09:00,"903 Lincoln St, Boston, MA 02215",14.95,6,12,2019,Saturday,December,Boston,Night,Fall,14.95,12.857
295696.0,Lightning Charging Cable,1,2019-12-23 13:09:00,"252 Hickory St, San Francisco, CA 94016",14.95,13,12,2019,Monday,December,San Francisco,Afternoon,Fall,14.95,12.857
295697.0,ThinkPad Laptop,1,2019-12-15 07:38:00,"742 River St, San Francisco, CA 94016",999.99,7,12,2019,Sunday,December,San Francisco,Morning,Fall,999.99,859.9914
295698.0,Vareebadd Phone,1,2019-12-13 14:32:00,"175 1st St, New York City, NY 10001",400.0,14,12,2019,Friday,December,New York City,Afternoon,Fall,400.0,344.0
295698.0,USB-C Charging Cable,2,2019-12-13 14:32:00,"175 1st St, New York City, NY 10001",11.95,14,12,2019,Friday,December,New York City,Afternoon,Fall,23.9,10.277
295699.0,AA Batteries (4-pack),1,2019-12-17 18:32:00,"162 Maple St, Seattle, WA 98101",3.84,18,12,2019,Tuesday,December,Seattle,Afternoon,Fall,3.84,3.3023999999999996
295700.0,Bose SoundSport Headphones,1,2019-12-25 19:02:00,"363 Hickory St, New York City, NY 10001",99.99,19,12,2019,Wednesday,December,New York City,Evening,Fall,99.99,85.9914
295701.0,Bose SoundSport Headphones,1,2019-12-28 15:05:00,"751 North St, San Francisco, CA 94016",99.99,15,12,2019,Saturday,December,San Francisco,Afternoon,Fall,99.99,85.9914
295702.0,Wired Headphones,2,2019-12-21 18:50:00,"628 River St, Austin, TX 73301",11.99,18,12,2019,Saturday,December,Austin,Afternoon,Fall,23.98,10.3114
295703.0,AA Batteries (4-pack),1,2019-12-17 12:27:00,"502 Jefferson St, Austin, TX 73301",3.84,12,12,2019,Tuesday,December,Austin,Morning,Fall,3.84,3.3023999999999996
295703.0,Bose SoundSport Headphones,1,2019-12-17 12:27:00,"502 Jefferson St, Austin, TX 73301",99.99,12,12,2019,Tuesday,December,Austin,Morning,Fall,99.99,85.9914
295704.0,Wired Headphones,1,2019-12-12 00:20:00,"457 8th St, New York City, NY 10001",11.99,0,12,2019,Thursday,December,New York City,Night,Fall,11.99,10.3114
295705.0,Wired Headphones,1,2019-12-25 10:41:00,"133 Jackson St, New York City, NY 10001",11.99,10,12,2019,Wednesday,December,New York City,Morning,Fall,11.99,10.3114
295706.0,AAA Batteries (4-pack),3,2019-12-12 20:08:00,"599 Hill St, Los Angeles, CA 90001",2.99,20,12,2019,Thursday,December,Los Angeles,Evening,Fall,8.97,2.5714
